Version,L,M,Q,H
1,25,20,16,10
2,47,38,29,20
3,77,61,47,35
4,114,90,67,50
5,154,122,87,64
6,195,154,108,84
7,224,178,125,93
8,279,221,157,122
9,335,262,189,143
10,395,311,221,174
11,468,366,259,200
12,535,419,296,227
13,619,483,352,259
14,667,528,376,283
15,758,600,426,321
16,854,656,470,365
17,938,734,531,408
18,1046,816,574,452
19,1153,909,644,493
20,1249,970,702,557
21,1352,1035,742,587
22,1460,1134,823,640
23,1588,1248,890,672
24,1704,1326,963,744
25,1853,1451,1041,779
26,1990,1542,1094,864
27,2132,1637,1172,910
28,2223,1732,1263,958
29,2369,1839,1322,1016
30,2520,1994,1429,1080
31,2677,2113,1499,1150
32,2840,2238,1618,1226
33,3009,2369,1700,1307
34,3183,2506,1787,1394
35,3351,2632,1867,1431
36,3537,2780,1966,1530
37,3729,2894,2071,1591
38,3927,3054,2181,1658
39,4087,3220,2298,1774
40,4296,3391,2420,1852